,Authors,Title,Year,domain,ontology,Reuse,Format,Downloadable,Comments,reviewed ontologies,motivation,
P48,K. R. Kurte; S. S. Durbha; R. L. King; N. H. Younan; A. V. Potnis,A spatio-temporal ontological model for flood disaster monitoring,2017,FLOOD DISASTER MONITORING,Dynamic Flood Ontology (DFO),"W3c Owl Time ontology, SIIM Ontology that incoporates Topological relations","OWL,swrl axioms, schema diagram",no link,No ODP use,none,"development of Ontology, which is able to capture the dynamically evolving phenomenon",
P49,"M Alirezaie, A Kiselev, M Längkvist, F Klügl, A Loutfi",An ontology-based reasoning framework for querying satellite images for disaster monitoring,2017,disaster relief.,OntoCity,"reuses Geosparql, DOLCE+DnS--show mappings between top level ontologies--- has posibility of reusing Odps like Event, place  but may not fully cover ontology","Owl axioms, schema diagram",no link,No ODP reuse,"OntoFire ontology, FloodOntology-An Ontology Framework for Flooding Forecasting","epresent geometry, spatial relations and affordances of entities within a city",
P50,"Serena Chan, Brian A. Haugh,Francisco L. Loaiza-Lemos,Steven P. Wartik",Public Safety and Emergency Management Communications Ontolog,2017,Public Safety and Emergency Management,PS/EM Communication ontology,"BFO, Common core ontologies (CCO)","OWL, schema diagram",..,No ODP Reuse,,issue of improving semantic interoperability across the PS/EM communications enterprise.,
P51,"M Bau?i?, S Knezi?, G Neubauer",The EPISECC Ontology model: spatio-temporal ontology for disaster management,2017,Emergency response,EPISECC Ontology model spatio-temporal ontology for disaster response,"GeoSPARQL, and W3C Time for temporal data, DOLCE-Lite-- posibility of reusing ODPs","OWL, Schema diagram, CQs",no link,no ODP uSe,"EMERGEL ontology [5], interpreting a disaster as a kind of events and using SKOS model",None of the above mentioned ontologies fit the scope and tasks of the envisaged EPISECC Ontology model and therefore could not be reused.,"The FP7 project DRIVER elaborated existing ontologies for disaster and emergency management in [20] and eleven subject areas are identified including critical infrastructures, resource management, decision support, situation awareness, response coordination, command and control, etc"
P53,A. V. Potnis; S. S. Durbha; K. R. Kurte,A Geospatial Ontological Model for Remote Sensing Scene Semantic Knowledge Mining for the Flood Disaster,2018,Flood Hazard representation,Flood Scene Ontology (FSO),"BFO ontololgy and LU/LC classes  from satelite imagery, Spatial IIM (SIIM) ontology model","Web VOWL schema diagram, OWL_DL axioms",no link,No ODP use,Spatial IIM (SIIM) ontology model for mining domain,bridging the spatio-contextual semantic gap in understanding of the remote sensing imagery during a floo,
P54,"Zhu, Min; Chen, Ruxue; Li, Xingfeng; Lin, Tianye; Huang, Quanyi; Zhong, Shaobo",An Ontology-based Approach to Double Scenario Model Knowledge Base Development for International Disaster Relief,2018,disaster  relief,disaster medical relief ontology,none,"OWL, Protégé schema diagram,",no link,no ODP uSe,none,"expression, sharing and reusing, the scenario model development based on ontology",
P56,"Kattiuscia BITENCOURT,Frederico ARAÚJO DURÃO, Manoel MENDONÇA,Lassion Santana
",EmergencyFire: An Ontology for Fire Emergency Situations,2018,Fire Emergency Situations,EmergencyFire ontology,..,"rdf, SWRL, CQs",no link but paper,No ODP Reuse,,Author reviews existing ontologies and doesn’t find them  comprehensive-for fire management ,
P57,"D Hilbring, J Moßgraber, P Hertweck, T Hellmund",Harmonizing Data collection in an Ontology for a Risk Management Platform,2018,Crisis Management,beAWARE ontology,"MOAC and SoKNOS, OASIS  project  for representing units","OWL, schema diagram, no axioms but just SPARQL snapshot, CQs present",no link,No ODP reuse,"two of the most prominent approaches in crisis management and response are MOAC [5] and SoKNOS [6]. MOAC (Management of a Crisis Vocabulary), is a lightweight vocabulary. SoKNOS, on the other hand, is a set of ontologies ensuring that newly created information, as well as integrated sensor information, is semantically characterized.","Existing ontologies only cover a subset of climate-related crisis management, the proposed beAWARE ontology consists of modules for representing all aspects of crisis management adopting concepts from some of the existing ontologies ",
P58,"Cogan Shimizu1 , Leah McEwen2 , and Quinn Hirt",Ontology design patterns for laboratory chemical process hazards,2018,Hazards in saftey risk ,Chemical ontology,"Based on DOLCE, Provenance ODP","Schema diagram, OWL axioms, Provenance_yes,CQ, example, anotations",no link,its an ODP that reuses Provenance ODP from ODP wiki,,reuse to organize hazard data in saftey science,
P59,"N Chen, Y Liu, C Wang, C Xiong, ...",SWRO-DDPM: A Sensor Web Resource Ontology for the Dynamic Disaster Process Monitoring,2018,disaster cycle,SWRO-DDPM ontology,"DOLCE, Semantic Sensor Network ontology, Event-Model-F","detailed schema diagram with data properties,",no link,No ODP use,"DOLCE, EVENT F, SSN","Event Fand SSN --but none of them can support the
comprehensive and dynamic description of the sensors,
observation data, models for specific disaster event.",
P60,"A Ahmad, R Othman, M Fauzan, QM Ilyas",A Semantic Ontology for Disaster Trail Management System,2019,disaster management-relief and response,DISASTER TRAIL MANAGEMENT ONTOLOGY,"Situation Modeling Language (SML).--- can be better characterised by event , place, agent and organisation patterns among others","CQs, OWLdl axioms, schema diagram",no link,No ODP use,none,"Humanitarian Assistance Ontology (HAO),  Geo-ontology",but could not find any existing disaster ontology that answers the complete list of prepared competency questions.
P61,"S Khantong, MN Ahmad",An Ontology for Sharing and Managing Information in Disaster Response: In Flood Response Usage Scenarios,2019,disaster response-,Ontology for flood fore casting-capturing common concepts related to flood response management,"Unified Foundation Ontology, classes in OWL-S are utilized, including Process, Composite Process, Atomic Process, Participant and
Result. ","OWL/OWLS format code, no axioms , UML schema diagram, no provenance",no link,No ODP reuse,"SoKNOS for planning in disaster response, SIADEX ontology for process planning in a disaster, ISyCri
ontology for disaster response coordination management,  ontologies in AKTiveSA system  (such as Geography,
Transportation, Meteorology, Humanitarian aid, Military, Equipment, Organizations and Weapons) for situation awareness in humantarian efforts, OntoFire for representing Fire events, case attribute domain ontology which is
used to support case-based reasoning approaches in order to
improve the efciency and efectiveness of decision-making
in responding to a disaster situation.","a few ontologies related to disaster response are grounded in foundational ontologies,  represent knowledge of the domain from diferent
points of view",
P62,"A Aziz, S Ahmed, FI Khan",An ontology-based methodology for hazard identification and causation analysis,2019,hazard identification,d ontology model for hazard identification,,"UML /protégé schema diagram, OWL",no link,No ODP use,none,OWL based PR-OWL incorporate the probabilistic reasoning;,
P63,"SK Narayanasamy, D Muruganantham, ...",Crisis and Disaster Situations on Social Media Streams: An Ontology-Based Knowledge Harvesting Approach,2019,crisis and disaster situations,"disaster ontology-created from a glossary of 150 terms --posible to extract ODP for relating Exposure, Damage, Vulnerability, Risk and elements at RISK according to schema diagram)",reuses knowledge from Dbpedia,"schema diagram, Rdf ",no link,No ODP reuse,"Crisis Management subdomains ontologies Resources domain (SOKNOS-OWL_DL, MOAC_RDF, SIADEX_unknown) People(FOAF_Rdf, BIO_rdf) Organisation(IntelLEO_RDF
Organization OL_RDF),Disaster(EM-DAT_Online Query,UNEP-DTIE_Online query ,Canadian Disaster Database_Application System) Damage(HXL RDF), Infrastructure(OTN_RDF
EPANET_Development) Geography(GeoNames RDF), Meterology(NEW weather ontology_OWL), Hydrology(Ordnance Survey Hydrology Ontology_OWL)
",semantic text mining from twiter… existing Disaster ontology are less expressive,
P64,"AH Tantri, NA Rakhmawati",Designing A Natural Disaster Ontology for Indonesia,2019,Emergency management-Crisis managt,"Natural Disaster Ontology- posibility of Recharacterising ontology using Event ODP, ","community-based ontology [15], extensive onto logy about the volcanic system","Cqs, Owl, tree diagram only--shows wrong conceptualisation of Event pattern… instatiation of Event pattern would have sufficientl brought it up",no link,No ODP reuse,"community-based ontology [15], extensive onto logy about the volcanic system","existing ontologies cover only parts of natural disasters,",
P65,"S Teffali, N Matta, E Chatelet",Generating Crisis Situation by Using Ontology and Fuzzy Theory,2019,Crisis Management,"ResOnt-- for rescue operations---Object Role, Task, organisation patterns etc Can recharacterise ontology",SUMO and DOLCE,Schema diagram,no link,No ODP reuse,"SUMO, DOLCE",covers all concepts,
P66,"Hafidha Bouyerbou, Kamal Bechkoum, Richard Lepage",Geographic ontology for major disasters: Methodology and implementation,2019,"relief operations, and provide better damage assessment.",GEO-MD is an OWL geographic ontology with major disasters background,"GeoSPARQL, OWL-Time","OWLDL, schema diagram and DL axioms",no link,No ODP reuse,"OWL USGS based ontology, CORINE landCover, Land Based Classification Standards (LBCS), DLR
Ontology http://www.earthobservatory.eu/ontologies/dlrOntology.owl, FusionTopoCarto2 
http://geonto.lri.fr/ressources_fichiers/FusionTopoCarto2.owl, OTN  www.pms.ifi.lmu.de/rewerse-wga1/otn/OTN.owl
,FTT ,Eresponse-5
http://e-response.org/ontology/e-response.owl","design and implementation of a comprehensive geographic ontology in the case of major disasters,",
P67,"J Phengsuwan, NB TH, ...",Onto-DIAS: Ontology-based Data Integration and Analytics System for Landslide hazard Early Warning.,2019,Early warning,"Landslip Ontology,","SSN ontology as well as terminologies defined in
OGC standards (e.g. Observation and Measurement [27],
SensorML [28] and SOS [29]","owl format, CQ, Protégé schema diagram",no link,No ODP reuse,SSN and SWEET,data discovery,
P69,"W Bannour, A Maalel, HHB Ghezala",Ontology-Based Representation of Crisis Response Situations,2019,Crisis response,CROnto ontology,SoKNOS ontology,"Protégé schema diagram, OWL",no link,No ODP use,"ontology for climate crisis management, EmergencyFire ontology, EDXL-RESCUER  ontology,DO4MG  ontology, MOAC, ISyCri ",None of the above mentioned works has proposed an ontological model to repre-sent crisis response strategies. ,
P70,"S Dhakal, L Zhang",Ontology-Based Semantic Modeling of Disaster Resilient Construction Operations: Towards a Knowledge-Based Decision Support System,2019,disaster preparedness,disaster resilient construction operations (DRCOs-Onto),none,schema diagram,no link,no ODP uSe,none,a lack of holistic and systematic knowledge that ensures whole life-cycle disaster management of construction projects,
P71,"Kelly Moran, Kajal Claypool",Building the NNEW Weather Ontology,2010,weather events,NNEW weather ontology,SWEET,"owl , schema diagram",https://wiki.ucar.edu/display/CSSWX,No ODP Reuse,not accessible.,"Though some work in this area exists, no single ontology meets the needs of the WXXM community today",
P72,"Jens Ortmann, Desiree Daniel",An Ontology Design Pattern for Referential Qualities,2011,Vulnerability,"Referential quality ODP, ",DOLCE,"owl, schema diagram, Owl axioms",http://www.jensortmann.de/ontologies/odp4refprop.html,ODP,,pattern is kept general and simple to ensure a flexible and easy application. The pattern has the potential to facilitate ontological modeling of ecological systems,
P73,"Limbu, Minu","Management Of A Crisis (MOAC) Vocabulary Specification. ObservedChange, January 2012",2014,Humanitarian disaster response and relief ,Management Of A Crisis (MOAC) vocabulary ,,"rdf, vocubulary specification",http://observedchange.com/moac/ns/,No ODP Reuse,,it is noted that there are no suitable disaster management vocabularies  are available,
P74,"Carsten Keßler,Chad Hendrix",The Humanitarian eXchange Language: Coordinating Disaster Response with Semantic Web Technologies,2014,Humanitarian disaster response and relief ,Humanitarian Exchange Language (HXL),,ttle,https://github.com/hxl-team/HXL-Vocab/blob/master/Tools/hxl.ttl,No ODP Reuse,,"to contribute to the automatization of many of these processes,--Collecting and integrating data to optimize the response efforts in such a heterogeneous and distributed
environment ",
P75,"B Khazai, T Kunz-Plapp, C Büscher, ...",VuWiki: an ontology-based semantic wiki for vulnerability assessments,2014,Vulnerability,Ontology for Vulnerability Assessments,SWEET,Tree diagram,www.vuwiki.org,No ODP use,SWEET ontology,roviding—both scientists and practitioners—with a uniform ontology as a reference system,
P76,"R. Barros,P. Kislansky,L. Salvador,V. Vieira et al",EDXL-RESCUER ontology: an update based on Faceted Taxonomy approach,2015,mergency information sharing between organizations and system --on rescuer platform,EDXL_RESCUER,Emergency Data Exchange Language,"CQs, Schema diagram, Owl",http://www.rescuer-project.org/,No ODP Reuse,,it aims to be the RESCUER conceptual model related to the coordinating and exchanging of information with legacy systems.,
P77,Casado et al,https://cordis.europa.eu/project/id/285069/reporting,2015,core ontology contains all the common knowledge and concepts related to emergencies and the stakeholders involved in a crisis situation,EMERGEL – extended from SOKO,"DOLCE+DnS , FOAF and WAI. SKOS","Schema diagram, rdf ",http://vocab.ctic.es/emergel/,No ODP Reuse,not  downloadable,"common and modular ontology taking into account different cultural, semantic and linguistic issues",
P78,"A Lawrynowicz, I Lawniczak",The Hazardous Situation Ontology Design Pattern.,2015,modeling hazardous situations,Harzardous situation ODP,Dolce Lite Plus,"Schema diagram, CQs,OWL-DL Axiomisation",http://ontologydesignpatterns.org/wiki/Submissions:HazardousSituation,ODP,0,foster reuse while modelling hazardous situations,
P79,Nadia Rauch and Mark S. Fox,A Fire and Emergency Ontology for City Indicators,2017,emergency response,Emergency Response Ontology,SUMO,"owl, CQs, schema diagrams",http://ontology.eil.utoronto.ca/GCI/FireEmergency/EResponse.owl,No ODP Reuse,owl time ….,build inteligent agent,
P80,"M Cheatham, H Ferguson, C Vardeman, ...",A modification to the hazardous situation ODP to support risk assessment and mitigation,2017,modeling hazardous situations,Hazardous Situation ODP,Dolce Lite Plus,"Schema diagram, CQs,OWL-DL Axiomisation",https://github.com/Vocamp/Hazard,ODP,hazardous ODP,foster reuse while modelling hazardous situations,
P81,G. Burel,DoRES-A three-tier ontology for modelling crises in the digital age,2017,DOcument-Report-Event-Situation--emergency crisis,Dores,"FOAF, SIOC, Geonames and WGS84--can posibly be better recharacterised with AgentRole, Event Odps …Curio and Veracity …link doesn’t work","rdf, schema diagram, CQs",broken link--http://socsem.open.ac.uk/ontologies/dores#,No ODP Reuse,,Existing ontologies don’t cover both emergency events and focus on report documentation,
P82,"D Roman, D Sukhobok, N Nikolov, B Elvesæter, ...",The infrarisk ontology: Enabling semantic interoperability for critical infrastructures at risk from natural hazards,2017,"natural hazards,",InfraRisk ontology ,none,"RDFS/OWL, Schema diagram, CQs, licensed under Creative Commons Attribution, Example ",http://vocabs.datagraft.net/infrarisk,No ODP use,"UNISDR Terminology, International Federation of Red Cross and Red Crescent Centres (IFRC) terminology, Management of a Crisis Vocabulary (MOAC-- event pattern could have recharaterised the ontology
",best practices of managing,
P83,"E Kontopoulos, P Mitzias, J Moßgraber, P Hertweck, ...",Ontology-based Representation of Crisis Management Procedures for Climate Events.,2018,Crisis management,"ontology for climate crisis management, ","PESCaDO ontologies for meterological disasters ,MOAC , SoKNOS","Schema diagram. CQ OWL,",https://beaware-project.eu/wp-content/uploads/2018/10/d4.2.pdf,No ODP use,"MOAC, SOKNOS, BACAREX ontology, ISyCri, SOFERS ",the drawback with the proposed ontologies is that they cover only specific aspects relevant to their use case.,
P84..,"L Elmhadhbi, MH Karray, B Archimède",A modular ontology for semantically enhanced interoperability in operational disaster response,2019,disaster response-,POLARISC Ontology),"Basic Formal Ontology (BFO), Common Core Ontology CCO","CQs, OWL, schema diagram",https://github.com/LindaElmhadhbi/POLARISC-Ontology,Modular ontologies but Not ODPs,"EMERGEL Ontology that reuses DOLCE and FOAF, SoKNOS ontology, EDXL-RESCUER ontology, PS/EM Communication ontology constructed by specialization of BFO  and  CCO  classes.",each ERs has its own technical vocabulary--so as to come up with a common shared vocabulary --these ontologies don’t cover the knowledge of the different involved actors,
P85,"M Gaur, S Shekarpour, A Gyrard, ...",empathi: An ontology for emergency managing and planning about hazard crisis,2019,Crisis Management,empathi,"Reuses  Crisis/hazard related taxonomy and lexicon (Em_dat, MOAC, HXL, FEMA, Geonames,MA_ont,) FOAF,  DC_terms, SKOS, LODE, SIOC, icontact-- there is a posibility of recharacterising this using --Event, place, object participant patterns etc","Owl format, Tree diagram",https://w3id.org/empathi/,No ODP reuse,"HXL_ttl, MOAC_rdf, EDXL_RESCUER, Disaster ontology_rdf,Social Media Emergency Management (SMEM), Emergency Fire (EF):, Dores_rdf, ERO","Existing Ontologies like MOAC do not captual all contextual concepts in the domain, And are less expressive e.g HXL which can rather be called taxonomies rather than ontologies…..Our investigation in the state-of-the-arthazard-related conceptualization (i.e., taxonomy, vocabularyand ontology) revealed existing of a few works which mainlyconceptualized either hazard domain or crisis managementdomain from a limited perspective or for a particular type. Forexample, Humanitarian eXchange Language (HXL) [1] andEDXL-RESCUER Ontology [2] are mainly concerned withhelp and rescue aspect of crisis management domain.",
P86,"A Mazimwe, I Hammouda, ...",Ontology Design Patterns for Representing Knowledge in the Disaster Risk Domain,2019,disaster risk,many sub ontologies,DOLCE and Existing ODPs,"OWL, DL axioms, CQs, Schema diagram",http://w3id.org/gicentre/onto/qualitycausation,reuses only ODPs,"Shuming Liu et al and Guaar et al…already reviewd, Referential quality ODP, Hazardous situation, modified hazardous situation ODPs",reuse of existing ontologies in DRR domain,
